Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2021,6,Baku,STR,Aston Martin,32.94,19,19,0,13.0,14.0,12.0,0,0,1,0,0,0,0,0,0
2021,6,Baku,OCO,Alpine,48.24,12,12,0,16.0,9.0,9.0,0,1,0,0,0,0,0,0,0
2021,7,Le Castellet,VER,Red Bull Racing,1.0,1,1,0,3.0,1.0,1.0,0,0,0,0,1,0,0,0,1
2021,7,Le Castellet,HAM,Mercedes,2.0,2,2,0,2.0,3.0,5.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,PER,Red Bull Racing,3.0,4,4,0,4.0,12.0,4.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,BOT,Mercedes,4.0,3,3,0,1.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,NOR,McLaren,5.0,8,8,0,9.0,10.0,6.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,RIC,McLaren,6.0,10,10,0,6.0,14.0,10.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,GAS,Racing Bulls,7.0,6,6,0,8.0,7.0,9.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,ALO,Alpine,8.0,9,9,0,7.0,4.0,7.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,VET,Aston Martin,9.0,12,12,0,15.0,15.0,15.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,STR,Aston Martin,10.0,19,19,0,14.0,16.0,14.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,SAI,Ferrari,11.0,5,5,0,16.0,8.0,3.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,RUS,Williams,12.0,14,14,0,,17.0,17.0,0,0,0,0,1,1,0,0,0
2021,7,Le Castellet,TSU,Racing Bulls,13.0,0,20,0,10.0,13.0,12.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,OCO,Alpine,14.0,11,11,0,5.0,6.0,8.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,GIO,Sauber,15.0,13,13,0,12.0,11.0,13.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,LEC,Ferrari,16.0,7,7,0,11.0,5.0,11.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,RAI,Sauber,17.0,17,17,0,13.0,9.0,16.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,LAT,Williams,18.0,16,16,0,17.0,18.0,18.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,MSC,Haas F1 Team,19.0,15,15,0,19.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,7,Le Castellet,MAZ,Haas F1 Team,20.0,18,18,0,18.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,VER,Red Bull Racing,1.0,1,1,0,1.0,2.0,2.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,HAM,Mercedes,2.0,2,3,0,4.0,1.0,1.0,0,0,0,0,1,0,0,0,1
2021,8,Spielberg,BOT,Mercedes,3.0,5,2,0,2.0,12.0,3.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,PER,Red Bull Racing,4.0,4,5,0,13.0,9.0,4.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,NOR,McLaren,5.0,3,4,0,16.0,7.0,6.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,SAI,Ferrari,6.0,12,12,0,11.0,11.0,14.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,LEC,Ferrari,7.0,7,7,0,10.0,13.0,8.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,STR,Aston Martin,8.0,9,10,0,8.0,8.0,10.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,ALO,Alpine,9.0,8,9,0,6.0,5.0,9.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,TSU,Racing Bulls,10.0,11,8,0,5.0,15.0,5.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,RAI,Sauber,11.0,18,18,0,,14.0,16.0,0,0,0,0,1,1,0,0,0
2021,8,Spielberg,VET,Aston Martin,12.0,14,14,0,14.0,6.0,11.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,RIC,McLaren,13.0,13,13,0,12.0,3.0,18.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,OCO,Alpine,14.0,17,17,0,7.0,4.0,13.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,GIO,Sauber,15.0,15,15,0,9.0,10.0,12.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,MSC,Haas F1 Team,16.0,19,19,0,18.0,17.0,17.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,LAT,Williams,17.0,16,16,0,17.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,MAZ,Haas F1 Team,18.0,20,20,0,20.0,18.0,20.0,0,0,0,0,1,0,0,0,0
2021,8,Spielberg,RUS,Williams,29.86,10,11,0,15.0,16.0,15.0,0,1,0,0,0,0,0,0,0
2021,8,Spielberg,GAS,Racing Bulls,49.58,6,6,0,3.0,,7.0,0,0,1,0,0,0,1,0,0
2021,9,Spielberg,VER,Red Bull Racing,1.0,1,1,0,1.0,3.0,1.0,0,0,0,0,1,0,0,0,1
2021,9,Spielberg,BOT,Mercedes,2.0,5,5,0,4.0,2.0,3.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,NOR,McLaren,3.0,2,2,0,10.0,10.0,15.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,HAM,Mercedes,4.0,4,4,0,7.0,1.0,2.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,SAI,Ferrari,5.0,10,11,0,3.0,14.0,6.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,PER,Red Bull Racing,6.0,3,3,0,9.0,12.0,7.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,RIC,McLaren,7.0,13,13,0,12.0,16.0,16.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,LEC,Ferrari,8.0,12,12,0,2.0,17.0,9.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,GAS,Racing Bulls,9.0,6,6,0,8.0,7.0,4.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,ALO,Alpine,10.0,14,14,0,,8.0,8.0,0,0,0,0,1,1,0,0,0
2021,9,Spielberg,RUS,Williams,11.0,8,9,0,,18.0,14.0,0,0,0,0,1,1,0,0,0
2021,9,Spielberg,TSU,Racing Bulls,12.0,7,7,0,5.0,6.0,12.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,STR,Aston Martin,13.0,9,10,0,13.0,4.0,11.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,GIO,Sauber,14.0,15,15,0,,11.0,5.0,0,0,0,0,1,1,0,0,0
2021,9,Spielberg,RAI,Sauber,15.0,16,16,0,6.0,9.0,17.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,LAT,Williams,16.0,18,18,0,19.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,VET,Aston Martin,20.28,11,8,0,14.0,5.0,10.0,0,0,1,0,0,0,0,0,0
2021,9,Spielberg,MSC,Haas F1 Team,18.0,19,19,0,17.0,15.0,18.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,MAZ,Haas F1 Team,19.0,20,20,0,20.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2021,9,Spielberg,OCO,Alpine,50.0,17,17,0,11.0,13.0,13.0,0,0,1,0,0,0,0,0,0
2021,10,Silverstone,HAM,Mercedes,1.0,2,1,2,3.0,8.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,LEC,Ferrari,2.0,4,4,4,4.0,2.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,BOT,Mercedes,3.0,3,3,3,5.0,9.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,NOR,McLaren,4.0,5,6,5,2.0,4.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,RIC,McLaren,5.0,6,7,6,9.0,7.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,SAI,Ferrari,6.0,10,9,11,6.0,3.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,ALO,Alpine,7.0,7,11,7,14.0,14.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,STR,Aston Martin,8.0,14,15,14,18.0,18.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,OCO,Alpine,9.0,9,13,10,10.0,5.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,TSU,Racing Bulls,10.0,16,16,16,12.0,17.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,GAS,Racing Bulls,11.0,11,12,12,11.0,10.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,RUS,Williams,12.0,12,8,9,19.0,12.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,GIO,Sauber,13.0,15,14,15,13.0,13.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,LAT,Williams,14.0,17,18,17,17.0,16.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,RAI,Sauber,15.0,13,17,13,15.0,15.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,PER,Red Bull Racing,16.0,0,5,20,8.0,6.0,,0,0,0,0,1,0,0,1,1
2021,10,Silverstone,MAZ,Haas F1 Team,17.0,19,20,19,20.0,19.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,MSC,Haas F1 Team,18.0,18,19,18,16.0,20.0,,0,0,0,0,1,0,0,1,0
2021,10,Silverstone,VET,Aston Martin,22.31,8,10,8,7.0,11.0,,0,1,0,0,0,0,0,1,0
2021,10,Silverstone,VER,Red Bull Racing,50.0,1,2,1,1.0,1.0,,0,0,1,1,0,0,0,1,0
2021,11,Budapest,OCO,Alpine,1.0,8,8,0,11.0,4.0,12.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,HAM,Mercedes,2.0,1,1,0,3.0,2.0,1.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,SAI,Ferrari,3.0,15,15,0,4.0,12.0,4.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,ALO,Alpine,4.0,9,9,0,6.0,7.0,9.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,GAS,Racing Bulls,5.0,5,5,0,5.0,6.0,11.0,0,0,0,0,1,0,0,0,1
2021,11,Budapest,TSU,Racing Bulls,6.0,16,16,0,12.0,18.0,14.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,LAT,Williams,7.0,18,18,0,16.0,17.0,17.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,RUS,Williams,8.0,17,17,0,15.0,16.0,16.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,VER,Red Bull Racing,9.0,3,3,0,1.0,3.0,2.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,RAI,Sauber,10.0,0,13,0,,15.0,15.0,0,0,0,0,1,1,0,0,0
2021,11,Budapest,RIC,McLaren,11.0,11,11,0,14.0,13.0,8.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,MSC,Haas F1 Team,12.0,20,20,0,17.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,GIO,Sauber,13.0,14,14,0,20.0,14.0,18.0,0,0,0,0,1,0,0,0,0
2021,11,Budapest,MAZ,Haas F1 Team,48.71,19,19,0,19.0,20.0,20.0,0,0,1,0,0,0,0,0,0
2021,11,Budapest,NOR,McLaren,49.57,6,6,0,9.0,9.0,6.0,0,0,1,0,0,0,0,0,0
2021,11,Budapest,BOT,Mercedes,50.0,2,2,0,2.0,1.0,3.0,0,0,1,0,0,0,0,0,0
2021,11,Budapest,PER,Red Bull Racing,50.0,4,4,0,8.0,5.0,7.0,0,0,1,0,0,0,0,0,0
2021,11,Budapest,LEC,Ferrari,50.0,7,7,0,7.0,11.0,5.0,0,0,1,0,0,0,0,0,0
2021,11,Budapest,STR,Aston Martin,50.0,12,12,0,10.0,10.0,10.0,0,0,1,0,0,0,0,0,0
2021,11,Budapest,VET,Aston Martin,50.0,10,10,0,13.0,8.0,13.0,1,0,0,0,0,0,0,0,0
2021,12,Spa-Francorchamps,VER,Red Bull Racing,1.0,1,1,0,2.0,1.0,1.0,0,0,0,0,1,0,0,0,0
2021,12,Spa-Francorchamps,RUS,Williams,2.0,2,2,0,14.0,17.0,9.0,0,0,0,0,1,0,0,0,0
