Year,Round,Place,Driver,Team,Result,Start_Position,Q,Sprint,P1,P2,P3,Is_dsq,Is_mechanical,Is_accident,Fine,Is_finished,P1_missing,P2_missing,P3_missing,FastestLap
2023,7,Barcelona,TSU,Racing Bulls,12.0,15,15,0,14.0,17.0,9.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,PIA,McLaren,13.0,9,10,0,17.0,12.0,15.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,DEV,Racing Bulls,14.0,14,14,0,4.0,16.0,12.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,HUL,Haas F1 Team,15.0,7,8,0,18.0,3.0,14.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,ALB,Williams,16.0,18,18,0,20.0,19.0,19.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,NOR,McLaren,17.0,3,3,0,11.0,14.0,10.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,MAG,Haas F1 Team,18.0,17,17,0,7.0,15.0,17.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,BOT,Sauber,19.0,16,16,0,16.0,9.0,8.0,0,0,0,0,1,0,0,0,0
2023,7,Barcelona,SAR,Williams,20.0,20,20,0,19.0,20.0,20.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,VER,Red Bull Racing,1.0,1,1,0,5.0,6.0,1.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,ALO,Aston Martin,2.0,2,3,0,3.0,4.0,3.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,HAM,Mercedes,3.0,3,4,0,,1.0,10.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,LEC,Ferrari,4.0,10,11,0,,5.0,2.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,SAI,Ferrari,5.0,11,8,0,,3.0,5.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,PER,Red Bull Racing,6.0,12,12,0,4.0,8.0,17.0,0,0,0,0,1,0,0,0,1
2023,8,Montréal,ALB,Williams,7.0,9,10,0,,17.0,14.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,OCO,Alpine,8.0,6,6,0,,18.0,19.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,STR,Aston Martin,9.0,16,13,0,2.0,9.0,7.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,BOT,Sauber,10.0,14,15,0,1.0,7.0,9.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,PIA,McLaren,11.0,8,9,0,6.0,11.0,12.0,0,0,0,0,1,0,0,0,0
2023,8,Montréal,GAS,Alpine,12.0,15,17,0,,10.0,6.0,0,0,0,0,1,1,0,0,0
2023,8,Montréal,NOR,McLaren,13.0,7,7,0,,13.0,13.0,0,0,0,0,1,1,0,0,0
